BOOKS
1|Оскар Уайльд|Портрет Дориана Грея|2022|219|True|"""Портрет Дориана Грея"" — самое знаменитое произведение Оскара Уайльда, единственный его роман, вызвавший в свое время шквал негативных оценок и тем не менее имевший невероятный успех."|
2|Фрэнсис Ходжсон Бёрнетт|Таинственный сад|2022|269|True|В центре романа «Таинственный сад» – десятилетняя Мери Леннокс, вернувшаяся из Индии в Англию после смерти родителей. |
3|Джейн Остен|Гордость и предубеждение|2022|229|True||
4|Эмили Джейн Бронте|Грозовой перевал|2022|209|True||
5|Уильям Голдинг|Повелитель мух|2022|305|True||
6|Айн Рэнд|Атлант расправил плечи|2021|1 425|True||
7|Джордж Оруэлл|1984|2022|259|True|Культовый роман Джорджа Оруэлла, одна из главных антиутопий XX века.|
8|Антуан де Сент-Экзюпери|Маленький принц|2022|219|True|«Маленький принц» — наиболее известное (переведено более чем на 180 языков) произведение Экзюпери, написанное незадолго до смерти автора и им же проиллюстрированное.|
9|Федор Достоевский|Преступление и наказание|2022|250|True|"""Преступление и наказание"" (1866) — одно из самых значительных произведений в истории мировой литературы. Это и глубокий филососфский роман, и тонкая психологическая драма, и захватывающий детектив, и величественная картина мрачного города, в недрах которого герои грешат и ищут прощения, жертвуют собой и отрекаются от себя ради ближних и находят успокоение в смирении, покаянии, вере. Главный герой романа Родион Раскольников решается на убийство, чтобы доказать себе и миру, что он не ""тварь дрожащая"", а ""право имеет"". Главным предметом исследования писателя становится процесс превращения добропорядочного, умного и доброго юноши в убийцу, а также то, как совершивший преступление Раскольников может искупить свою вину."|
10|Михаил Булгаков|Мастер и Маргарита|2023|282|True||
11|Михаил Булгаков|Мастер и Маргарита|2023|534|True||
12|Маргарет Митчелл|Унесенные ветром|2022|970|True||
13|Френсис Скотт Фицджеральд|Великий Гэтсби|2022|219|True|"«Бурные» двадцатые годы прошлого столетия…|Время шикарных вечеринок, «сухого закона» и «легких» денег…|||||||Эти «новые американцы» уверены, что расцвет будет вечным, что достигнув вершин власти и богатства, они обретут и личное счастье…|||||||Таким был и Джей Гэтсби, ставший жертвой бессмысленной погони за пленительной мечтой об истинной и вечной любви, которой не суждено было сбыться…"|||||||
14|Иван Тургенев|Отцы и дети|2022|219|True|"""Отцы и дети"" — знаменитый роман Тургенева, ставший чуть ли не самым значительным произведением в истории о взаимоотношениях поколений."|
15|Иван Тургенев|Отцы и дети. Дворянское гнездо. Записки охотника|2024|884|True||
16|Стивен Кинг|Оно|2020|1 450|False||
17|Стивен Кинг|Клатбище домашних жывотных|2021|590|False|Роман, который сам Кинг, считая «слишком страшным», долго не хотел отдавать в печать, но только за первый год было продано 657 000 экземпляров! Также роман лег в основу одноименного фильма Мэри Ламберт (где Кинг, кстати, сыграл небольшую роль).|
18|Стивен Кинг|Оно|2022|469|True||
19|Стивен Кинг|Сияние|2021|556|False||
20|Роберт Гараев|Слово пацана. Криминальный Татарстан 1970–2010-х|2022|799|True||
21|Виктор Дашкевич|Демон из Пустоши|2024|593|True||
22|Тан Ци|Три жизни, три мира: Десять ли персиковых цветков|2023|775|True||
23|Фрэнк Герберт|Дюна|2019|1 250|False||
24|Иван Тургенев|Таинственные истории|2019|219|False||
25|Брэм Стокер|Змеиный перевал|2024|219|True||
26|Элизабет Гаскелл|Серая женщина|2023|450|True||
27|Галина Гончарова|Дракон цвета крови|2024|513|True||
28|Мария Корнилова|Смешарики. История культовой Вселенной|2024|1 808|True||
29|Мераб Мамардашвили|Введение в философию|2023|289|True||
30|Шарль Луи Монтескье|О духе законов|2023|315|True||
